2022-07-15 03:30:37,059 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "PUT /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:30:55,176 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:30:55,186 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:30:56,027 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:30:56,032 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:30:56,817 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
2022-07-15 03:30:56,822 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:30:57,651 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:30:57,656 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:30:58,483 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:30:58,487 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:30:59,473 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "PUT /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:31:23,502 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:31:23,512 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:31:24,416 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:31:24,420 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:31:25,213 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
2022-07-15 03:31:25,217 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:31:26,028 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:31:26,032 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:31:26,836 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:31:26,840 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:31:27,795 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "PUT /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
